author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/304065659/,Москва,sale,flat,4,17,2,49.8,53567000,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302081797/,Москва,sale,flat,2,10,2,69.4,85000000,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/300605973/,Москва,sale,flat,15,16,1,34.3,9500000,, Василия Ощепкова,2,Коммунарка,Москвичка
VESPER,developer,https://www.cian.ru/sale/flat/262519758/,Москва,sale,flat,5,21,2,110.6,103787040,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
ID 85604823,unknown,https://www.cian.ru/sale/flat/299429352/,Москва,sale,flat,38,51,2,63.0,36000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
Вертикаль,real_estate_agent,https://www.cian.ru/sale/flat/299562651/,Москва,sale,flat,11,14,1,40.0,8550000,Люблино,Ставропольская ,64К2,Люблино,
VESPER,developer,https://www.cian.ru/sale/flat/286258299/,Москва,sale,flat,5,9,2,104.2,143796000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/276019027/,Москва,sale,flat,6,6,2,130.0,58000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/303570625/,Москва,sale,flat,12,12,2,45.6,9750000,Бибирево,Белозерская ,1А,Алтуфьево,
Главстрой,developer,https://www.cian.ru/sale/flat/296921240/,Москва,sale,flat,3,26,2,65.8,27526142,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087931/,Москва,sale,flat,7,15,2,120.0,149500000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
ID 221886,realtor,https://www.cian.ru/sale/flat/303196246/,Москва,sale,flat,2,9,2,45.3,14600000,Северное Медведково,Студеный проезд,38к1,Медведково,
MR Group,developer,https://www.cian.ru/sale/flat/299093508/,Москва,sale,flat,11,41,2,58.5,33468738,Даниловский,Дубининская ,59к7,Серпуховская,Павелецкая Сити
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/303589233/,Москва,sale,flat,8,18,2,84.0,62750000,Тверской, Александра Невского,27,Белорусская,
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,9700000,Гольяново,Уральская ,1,Щёлковская,
